Class,Policy
Mitigation,"Implement and enforce Title 18, Chapter 18.30, Section 18.30.130 of the Carlsbad Municipal Code, mandating solar photovoltaic energy generation systems on new non-residential buildings. (Ongoing)"
Mitigation,"Implement and enforce Title 18, Chapter 18.30, Section 18.30.130 of the Carlsbad Municipal Code, mandating solar photovoltaic energy generation systems on existing non-residential buildings undergoing major renovations.(Ongoing)"
Mitigation,"Publicize available incentive and rebate programs, such as SDG&E’s Residential Energy Efficiency Program, on the city’s website and by other means. (Short-term)"
Mitigation,"Create a citywide “Energy Challenge,” similar to the Department of Energy’s Better Buildings Challenge, to promote cost-effective energy improvements, while having residents and building owners commit to reducing energy consumption. (Short-term)"
Mitigation,"Implement and enforce Title 18, Chapter 18.30, Section 18.30.190, mandating energy efficiency measures in existing residential buildings undergoing major renovations. (Ongoing)"
Mitigation,"Undertake a program of energy efficiency retrofits for city-owned buildings, with the goal of 40 percent reduction in energy use, beginning with retrofits that would result in the most substantial energy savings. (Short-term)"
Mitigation,"Promote available incentive and rebate programs, such as SDG&E’s Energy Efficiency Business Rebates and Incentives Program, on the city’s website and by other means. (Short-term)"
Mitigation,"Implement and enforce Title 18, Chapter 18.21, Section 18.21.155, mandating energy efficiency measures in new non-residential buildings and existing non-residential buildings undergoing major renovations. (Ongoing)"
Mitigation,"Replace 50 percent of incandescent or halogen light bulbs in city facilities with LED or similarly efficient lighting, or follow SANDAG Energy Roadmap recommendations for lighting in city facilities, whichever results in greater energy savings. (Short-term)"
Mitigation,Promote the use of LED or other energy efficient lamps by publicizing rebate programs and information from SDG&E on the benefits of the use of LED or other energy efficient lighting on the city’s webpage. (Short-term)
Mitigation,"Evaluate the feasibility of adopting a minimum natural lighting and ventilation standard, developed based on local conditions. Demonstrate natural lighting and ventilation features in future city facility upgrade or new construction. (Mid-term)"
Mitigation,"Promote the installation of solar water heaters and heat pumps by publicizing incentive, rebate and financing programs, such as PACE programs and the California Solar Initiative for renovations of existing buildings by posting this information on the city’s website and by other means. (Short-term)"
Mitigation,"Implement and enforce Title 18, Chapter 18.30, Sections 18.30.150 and 18.30.170, mandating alternative water heating requirements in new residential and non-residential buildings. (Ongoing)"
Mitigation,Implement the citywide transportation demand management (TDM) plan and strategies. (Ongoing)
Mitigation,"Implement and enforce Title 18, Chapter 18.51, mandating TDM improvements and strategies for non-residential development. (Ongoing)"
